word,frequency
Harry,1465
Prinz,1125
Meghan,954
Queen,888
Trump,510
Philip,485
Deutschland,476
Pence,399
Herzogin,398
Royals,397
Netflix,395
Harris,316
Andrew,313
Coronapandemie,302
Biden,302
Merkel,301
Leben,287
William,276
Elizabeth,243
Windsor,242
Euro,227
Maßnahmen,222
Klimawandel,214
Kate,214
Familie,212
Buckingham-Palast,212
Berlin,205
London,195
Situation,190
Geld,188
Großbritannien,184
Königin,184
Pandemie,182
Schloss,182
Medien,178
Kanzlerin,176
Frauen,175
Infektionszahlen,163
USA,160
Epstein,155
Wood,155
Farm,155
Ehefrau,153
Sprecher,152
Enkel,151
Netflix-Deal,151
Spendengala,150
Müller,149
Öffentlichkeit,149
CoronaKrise,146
